PROCEDIMENTO,Código SIGTAP,SIGTAP- Procedimento
RETIRADA DE CORPO ESTRANHO EM SISTEMA CARDIOVASCULAR POR TÉCNICAS HEMODINÂMICAS,0415040035,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS
RETIRADA DE CORPO ESTRANHO EM SISTEMA CARDIOVASCULAR POR TÉCNICAS HEMODINÂMICAS,0505020041,TRANSPLANTE DE CORACAO
RETIRADA DE CORPO ESTRANHO EM SISTEMA CARDIOVASCULAR POR TÉCNICAS HEMODINÂMICAS,0506020061,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE CORAÇÃO- PÓS TRANSPLANTE CRÍTICO
RETIRADA DE DRENO,0408030534,RESSECÇÃO DE ELEMENTO VERTEBRAL POSTERIOR / POSTERO-LATERAL / DISTAL A C2 (MAIS DE 2 SEGMENTOS)
RETIRADA DE DRENO,0415020077,PROCEDIMENTOS SEQUENCIAIS EM NEUROCIRURGIA
RETIRADA DE MARCAPASSO,0406010919,RETIRADA DE SISTEMA DE ESTIMULAÇÃO CARDÍACA ARTIFICIAL
RETIRADA DE MARCAPASSO,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
RETIRADA DE MULTIPLOS ORGAOS,0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
RETIRADA DE MULTIPLOS ORGAOS,0403010098,DERIVAÇÃO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA
RETIRADA DE MULTIPLOS ORGAOS,0503010014,AÇÕES RELACIONADAS A DOAÇÃO DE ÓRGÃOS E TECIDOS PARA TRANSPLANTE
RETIRADA DE PROTESE MAMARIA,0410010073,PLASTICA MAMÁRIA FEMININA NAO ESTETICA
RETIRADA DE PROTESE MAMARIA,0410010146,RETIRADA DE PRÓTESE MAMÁRIA BILATERAL EM CASOS DE COMPLICAÇÃO DA PRÓTESE MAMÁRIA IMPLANTADA
RETIRADA DE PROTESE MAMARIA,0410010154,"RETIRADA DE PRÓTESE MAMÁRIA UNILATERAL EM CASOS DE COMPLICAÇÃO DE IMPLANTAÇÃO DA PRÓTESE, COM IMPLANTAÇÃO DE NOVA PRÓTESE, NO MESMO ATO CIRÚRGICO"
RETOSSIGMOIDECTOMIA ABDOMINAL,0407020403,RETOSSIGMOIDECTOMIA ABDOMINAL
RETOSSIGMOIDECTOMIA ABDOMINAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
RETOSSIGMOIDECTOMIA ABDOMINAL,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
RETOSSIGMOIDECTOMIA ABDOMINAL,0416050018,AMPUTAÇÃO ABDOMINO-PERINEAL DE RETO EM ONCOLOGIA
RETOSSIGMOIDECTOMIA ABDOMINAL,0416050077,RETOSSIGMOIDECTOMIA ABDOMINAL EM ONCOLOGIA
RETOSSIGMOIDECTOMIA ABDOMINAL VIDEOLAPAROSCÓPICA,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
RETOSSIGMOIDECTOMIA ABDOMINAL VIDEOLAPAROSCÓPICA,0416050026,COLECTOMIA PARCIAL (HEMICOLECTOMIA) EM ONCOLOGIA
RETOSSIGMOIDECTOMIA ABDOMINAL VIDEOLAPAROSCÓPICA,0416050077,RETOSSIGMOIDECTOMIA ABDOMINAL EM ONCOLOGIA
RETOSSIGMOIDECTOMIA ABDOMINAL VIDEOLAPAROSCÓPICA,0416050123,COLECTOMIA VIDEOLAPAROSCÓPICA EM ONCOLOGIA
RETOSSIGMOIDECTOMIA ABDOMINO-PERINEAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
RETOSSIGMOIDECTOMIA ABDOMINO-PERINEAL,0416050018,AMPUTAÇÃO ABDOMINO-PERINEAL DE RETO EM ONCOLOGIA
RETOSSIGMOIDOSCOPIA,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
RETOSSIGMOIDOSCOPIA,0303010061,TRATAMENTO DE DOENÇAS INFECCIOSAS INTESTINAIS
RETOSSIGMOIDOSCOPIA,0303060298,TRATAMENTO DE TROMBOSE VENOSA PROFUNDA
RETOSSIGMOIDOSCOPIA,0303070072,TRATAMENTO DE DOENCAS DO FIGADO
RETOSSIGMOIDOSCOPIA,0303070099,TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS
RETOSSIGMOIDOSCOPIA,0303070102,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO
RETOSSIGMOIDOSCOPIA,0303070110,TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO
RETOSSIGMOIDOSCOPIA,0303170131,TRATAMENTO CLÍNICO EM SAÚDE MENTAL EM SITUAÇÃO DE RISCO ELEVADO DE SUICÍDIO.
RETOSSIGMOIDOSCOPIA,0303180072,TRATAMENTO DE HIV / AIDS
RETOSSIGMOIDOSCOPIA,0304100013,TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO
RETOSSIGMOIDOSCOPIA,0304100021,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO
RETOSSIGMOIDOSCOPIA,0305020056,TRATAMENTO DA DOENÇA RENAL CRÔNICA - DRC
RETOSSIGMOIDOSCOPIA,0406020043,ANEURISMECTOMIA DE AORTA ABDOMINAL INFRA-RENAL
RETOSSIGMOIDOSCOPIA,0407020071,COLECTOMIA TOTAL
RETOSSIGMOIDOSCOPIA,0407020101,COLOSTOMIA
RETOSSIGMOIDOSCOPIA,0409010170,INSTALAÇÃO ENDOSCÓPICA DE CATETER DUPLO J
RETOSSIGMOIDOSCOPIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
RETOSSIGMOIDOSCOPIA,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
RETOSSIGMOIDOSCOPIA,0416050018,AMPUTAÇÃO ABDOMINO-PERINEAL DE RETO EM ONCOLOGIA
RETOSSIGMOIDOSCOPIA,0505020092,TRANSPLANTE DE RIM (ORGAO DE DOADOR FALECIDO)
RETOSSIGMOIDOSCOPIA,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
RETOSSIGMOIDOSCOPIA,0506020100,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE ALOGÊNICO DE CÉLULAS-TRONCO HEMATOPOÉTICAS- PÓS TRANSPLANTE CRÍTICO
RETOSSIGMOIDOSCOPIA FLEXIVEL,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
RETOSSIGMOIDOSCOPIA FLEXIVEL,0303030046,TRATAMENTO DE DISTURBIOS METABOLICOS
RETOSSIGMOIDOSCOPIA FLEXIVEL,0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
RETOSSIGMOIDOSCOPIA FLEXIVEL,0303070110,TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO
RETOSSIGMOIDOSCOPIA FLEXIVEL,0304100013,TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO
RETOSSIGMOIDOSCOPIA FLEXIVEL,0304100021,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO
RETOSSIGMOIDOSCOPIA FLEXIVEL,0305020056,TRATAMENTO DA DOENÇA RENAL CRÔNICA - DRC
RETOSSIGMOIDOSCOPIA FLEXIVEL,0406020043,ANEURISMECTOMIA DE AORTA ABDOMINAL INFRA-RENAL
RETOSSIGMOIDOSCOPIA FLEXIVEL,0407020063,COLECTOMIA PARCIAL (HEMICOLECTOMIA)
RETOSSIGMOIDOSCOPIA FLEXIVEL,0407020101,COLOSTOMIA
RETOSSIGMOIDOSCOPIA FLEXIVEL,0407020225,EXCISÃO DE LESÃO / TUMOR ANU-RETAL
RETOSSIGMOIDOSCOPIA FLEXIVEL,0407040013,DRENAGEM DE ABSCESSO PÉLVICO
RETOSSIGMOIDOSCOPIA FLEXIVEL,0407040161,LAPAROTOMIA EXPLORADORA
RETOSSIGMOIDOSCOPIA FLEXIVEL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
RETOSSIGMOIDOSCOPIA FLEXIVEL,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
RETOSSIGMOIDOSCOPIA FLEXIVEL,0415020077,PROCEDIMENTOS SEQUENCIAIS EM NEUROCIRURGIA
RETOSSIGMOIDOSCOPIA FLEXIVEL,0416050050,EXCISÃO LOCAL DE TUMOR DO RETO EM ONCOLOGIA
RETOSSIGMOIDOSCOPIA FLEXIVEL,0416050077,RETOSSIGMOIDECTOMIA ABDOMINAL EM ONCOLOGIA
RETRACAO CICATR. DEDOS S/COMPR.TENDINOSO,0413040208,TRATAMENTO CIRURGICO DE RETRACAO CICATRICIAL DOS DEDOS DA MAO/PE S/ COMPROMETIMENTO TENDINOSO
RETRACAO CICATRICIAL-CORRECAO UM ESTAGIO,0413040178,TRATAMENTO CIRURGICO DE LESOES EXTENSAS C/ PERDA DE SUBSTANCIA CUTANEA
REVASCULARIZACAO MIOCARDIO C/ CEC,0406010692,IMPLANTE DE PRÓTESE VALVAR
REVASCULARIZACAO MIOCARDIO C/ CEC,0406010927,REVASCULARIZAÇÃO MIOCÁRDICA COM USO DE EXTRACÓRPOREA
REVASCULARIZACAO MIOCARDIO C/ CEC,0406010935,REVASCULARIZAÇÃO MIOCÁRDICA C/ USO DE EXTRACÓRPOREA (C/ 2 OU MAIS ENXERTOS)
REVASCULARIZACAO MIOCARDIO C/ CEC,0406011206,TROCA VALVAR C/ REVASCULARIZAÇÃO MIOCÁRDICA
REVASCULARIZACAO MIOCARDIO C/ CEC,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
REVISAO COTO AMPUTADO DE PERNA,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
REVISAO COTO AMPUTADO DE PERNA,0408050012,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
REVISAO COTO AMPUTADO DE PERNA,0408050330,REVISÃO CIRURGICA DE COTO DE AMPUTAÇÃO EM MEMBRO INFERIOR (EXCETO DEDOS DO PÉ)
REVISAO COTO AMPUTADO DE PERNA,0415040035,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS
REVISAO DE ARTROPLASTIA,0408040076,ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL
REVISAO DE ARTROPLASTIA,0408040335,TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL TRAUMATICA / POS-ARTROPLASTIA
REVISAO DE ARTROPLASTIA,0408050055,ARTROPLASTIA TOTAL DE JOELHO - REVISÃO / RECONSTRUÇÃO
REVISAO DE ARTROPLASTIA,0408050063,ARTROPLASTIA TOTAL PRIMÁRIA DO JOELHO
REVISAO DE ARTROPLASTIA,0408060069,ARTROPLASTIA DE RESSECÇÃO DE MÉDIA / GRANDE ARTICULAÇÃO
REVISAO DE ARTROPLASTIA,0408060387,RETIRADA DE PRÓTESE DE SUBSTITUIÇÃO DE GRANDES ARTICULAÇÕES (OMBRO / COTOVELO / QUADRIL / JOELHO)
REVISAO DE ARTROPLASTIA,0408060620,TRATAMENTO CIRÚRGICO DE INFECÇÃO PÓS-ARTROPLASTIA (GRANDES ARTICULAÇÕES)
REVISAO DE ARTROPLASTIA,0415020069,PROCEDIMENTOS SEQUENCIAIS EM ORTOPEDIA
REVISAO DE ARTROPLASTIA,0415020077,PROCEDIMENTOS SEQUENCIAIS EM NEUROCIRURGIA
REVISAO DE ARTROPLASTIA,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
REVISAO DE CAVIDADE RADICAL + MEATOPLASTIA OD,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
REVISAO DE COTO AMPUTADO,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
REVISAO DE COTO AMPUTADO,0401020100,EXTIRPAÇÃOE SUPRESSÃO DE LESÃO DE PELE E DE TECIDO CELULAR SUBCUTÂNEO
REVISAO DE COTO AMPUTADO,0408050012,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
REVISAO DE COTO AMPUTADO,0408060190,OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MÃO E DO PÉ
REVISAO DE COTO AMPUTADO,0415040035,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS
REVISAO DE COTO AMPUTADO,0416090010,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS INFERIORES EM ONCOLOGIA
REVISAO DE HEMOSTASIA,0305020056,TRATAMENTO DA DOENÇA RENAL CRÔNICA - DRC
REVISAO DE HEMOSTASIA,0401020100,EXTIRPAÇÃOE SUPRESSÃO DE LESÃO DE PELE E DE TECIDO CELULAR SUBCUTÂNEO
REVISAO DE HEMOSTASIA,0404010016,ADENOIDECTOMIA
REVISAO DE HEMOSTASIA,0416010202,SUPRARRENALECTOMIA EM ONCOLOGIA
REVISAO DE HEMOSTASIA,0416060137,HISTERECTOMIA VIDEOLAPAROSCÓPICA CO OU SEM ANEXECTOMIA (UNI/BILATERAL) EM ONCOLOGIA
REVISAO DE IMPLANTE DE MARCA PASSO,0406010862,REPOSICIONAMENTO DE ELETRODOS DE MARCAPASSO
REVISAO DE IMPLANTE DE MARCA PASSO,0406010919,RETIRADA DE SISTEMA DE ESTIMULAÇÃO CARDÍACA ARTIFICIAL
REVISAO DE IMPLANTE DE MARCA PASSO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
REVISAO DE OUVIDO MEDIO,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
REVISAO DE PORTOCATH,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
REVISAO DE PORTOCATH,0303040025,INTERNAÇÃO P/ O TRATAMENTO MEDICAMENTOSO DA OSTEOGENESIS IMPERFECTA
REVISAO DE PORTOCATH,0303180013,TRATAMENTO DE AFECÇÕES ASSOCIADAS AO HIV/AIDS
REVISAO DE PORTOCATH,0304080039,INTERNAÇÃO P/ QUIMIOTERAPIA DE LEUCEMIAS AGUDAS / CRÔNICAS AGUDIZADAS
REVISAO DE PORTOCATH,0304100013,TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO
REVISAO DE PORTOCATH,0304100021,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO
REVISAO DE PORTOCATH,0406020078,IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL)
REVISAO DE PORTOCATH,0407040188,LIBERAÇÃO DE ADERÊNCIAS INTESTINAIS
REVISAO DE PORTOCATH,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
REVISAO DE TRANSPLANTE RENAL,0505020092,TRANSPLANTE DE RIM (ORGAO DE DOADOR FALECIDO)
REVISAO DE TRANSPLANTE RENAL,0505020106,TRANSPLANTE DE RIM (ORGAO DE DOADOR VIVO)
REVISAO DE TRANSPLANTE RENAL,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
REVISAO DE TRAQUEOSTOMIA,0209040033,TRAQUEOSCOPIA
REVISAO DE TRAQUEOSTOMIA,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
REVISAO DE TRAQUEOSTOMIA,0303070064,TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO
REVISAO DE TRAQUEOSTOMIA,0303110104,TRATAMENTO DE OUTRAS MALFORMACOES CONGENITAS
REVISAO DE TRAQUEOSTOMIA,0303140046,TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES
REVISAO DE TRAQUEOSTOMIA,0303140100,TRATAMENTO DE INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES
REVISAO DE TRAQUEOSTOMIA,0303140135,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO
REVISAO DE TRAQUEOSTOMIA,0303140143,TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES
REVISAO DE TRAQUEOSTOMIA,0303140151,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)
REVISAO DE TRAQUEOSTOMIA,0403010160,RETIRADA DE DERIVAÇÃO VENTRICULAR PARA PERITONEO / ÁTRIO / PLEURA / RAQUE
REVISAO DE TRAQUEOSTOMIA,0404010318,RETIRADA DE CORPO ESTRANHO DE OUVIDO / FARINGE / LARINGE / NARIZ
REVISAO DE TRAQUEOSTOMIA,0404010377,TRAQUEOSTOMIA
REVISAO DE TRAQUEOSTOMIA,0415010012,TRATAMENTO C/ CIRURGIAS MULTIPLAS
REVISÃO DE DERIVAÇÃO VENTRÍCULO-PERITONEAL,0403010101,DERIVAÇÃO VENTRICULAR PARA PERITÔNEO / ÁTRIO / PLEURA / RAQUE
REVISÃO DE DERIVAÇÃO VENTRÍCULO-PERITONEAL,0403010160,RETIRADA DE DERIVAÇÃO VENTRICULAR PARA PERITONEO / ÁTRIO / PLEURA / RAQUE
REVISÃO DE DERIVAÇÃO VENTRÍCULO-PERITONEAL,0403010187,REVISÃO DE DERIVAÇÃO VENTRICULAR PARA PERITÔNEO / ÁTRIO / PLEURA / RAQUE
REVISÃO DE DERIVAÇÃO VENTRÍCULO-PERITONEAL,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
RINOPLASTIA P/ DEFEITOS POS-TRAUMATICO,0404020240,RECONSTRUÇÃO TOTAL OU PARCIAL DE NARIZ
RINOPLASTIA RECUPERADORA NAO ESTETICA,0404010482,SEPTOPLASTIA PARA CORREÇÃO DE DESVIO
RINOPLASTIA RECUPERADORA NAO ESTETICA,0404020240,RECONSTRUÇÃO TOTAL OU PARCIAL DE NARIZ
RINOPLASTIA RECUPERADORA NAO ESTETICA,0404020321,RINOPLASTIA PARA DEFEITOS PÓS-TRAUMÁTICOS
RINOPLASTIA RECUPERADORA NAO ESTETICA,0404030076,LABIOPLASTIA UNILATERAL EM DOIS TEMPOS
RINOPLASTIA RECUPERADORA NAO ESTETICA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
RINOSEPTOPLASTIA,0303060131,TRATAMENTO DE EDEMA AGUDO DE PULMAO
RINOSEPTOPLASTIA,0404010482,SEPTOPLASTIA PARA CORREÇÃO DE DESVIO
RINOSEPTOPLASTIA,0404010520,SEPTOPLASTIA REPARADORA NÂO ESTÉTICA
RINOSEPTOPLASTIA,0404020321,RINOPLASTIA PARA DEFEITOS PÓS-TRAUMÁTICOS
RINOSEPTOPLASTIA,0415010012,TRATAMENTO C/ CIRURGIAS MULTIPLAS
RINOSEPTOPLASTIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
RITIDOPLASTIA + VIDEO + LASER,0401020100,EXTIRPAÇÃOE SUPRESSÃO DE LESÃO DE PELE E DE TECIDO CELULAR SUBCUTÂNEO
RITIDOPLASTIA CERVICOFACIAL CONVENCIONAL,0404020399,TRATAMENTO CIRÚRGICO DE PARALISIA FACIAL (SUSPENSÃO DE HEMIFACE)
ROTACAO DE RETALHO,0401020037,ENXERTO LIVRE DE PELE TOTAL
ROTACAO DE RETALHO,0401020053,EXCISÃO E SUTURA DE LESAO NA PELE C/ PLÁSTICA EM Z OU ROTAÇÃO DE RETALHO
ROTACAO DE RETALHO,0403020018,ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (2 OU MAIS NERVOS)
ROTACAO DE RETALHO,0408060069,ARTROPLASTIA DE RESSECÇÃO DE MÉDIA / GRANDE ARTICULAÇÃO
ROTACAO DE RETALHO,0409050130,CIRURGIAS COMPLEMENTARES DE REDESIGNAÇÃO SEXUAL
ROTACAO DE RETALHO,0413040020,CORREÇÃO DE RETRAÇÃO CICATRICIAL VÁRIOS ESTÁGIOS
ROTACAO DE RETALHO,0413040097,PREPARO DE RETALHO
ROTACAO DE RETALHO,0413040178,TRATAMENTO CIRURGICO DE LESOES EXTENSAS C/ PERDA DE SUBSTANCIA CUTANEA
ROTACAO DE RETALHO,0415010012,TRATAMENTO C/ CIRURGIAS MULTIPLAS
ROTACAO DE RETALHO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ROTACAO DE RETALHO,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
ROTACAO DE RETALHO,0415040035,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS
ROTACAO DE RETALHO,0416080030,EXCISÃO E SUTURA DE LESÃO NA PELE COM PLASTICA EM Z OU ROTAÇÃO DE RETALHO EM ONCOLOGIA
ROTACAO DE RETALHO,0416080081,RECONSTRUÇÃO COM RETALHO MIOCUTÂNEO (QUALQUER PARTE) EM ONCOLOGIA
SAFENECTOMIA EXTERNA RADICAL (UM MEMBRO),0406020574,TRATAMENTO CIRÚRGICO DE VARIZES (UNILATERAL)
SAFENECTOMIA EXTERNA RADICAL(DOIS MEMBROS),0406020566,TRATAMENTO CIRURGICO DE VARIZES (BILATERAL)
"SAFENECTOMIA EXTERNA, INTERNA RADICAL 1 MEMBRO",0406020574,TRATAMENTO CIRÚRGICO DE VARIZES (UNILATERAL)
"SAFENECTOMIA EXTERNA, INTERNA RADICAL 2 MEMBROS",0406020566,TRATAMENTO CIRURGICO DE VARIZES (BILATERAL)
"SAFENECTOMIA EXTERNA, INTERNA RADICAL 2 MEMBROS",0406020574,TRATAMENTO CIRÚRGICO DE VARIZES (UNILATERAL)
SAFENECTOMIA INTERNA RADICAL (UM MEMBRO),0406020574,TRATAMENTO CIRÚRGICO DE VARIZES (UNILATERAL)
SAFENECTOMIA INTERNA RADICAL(DOIS MEMBROS),0406020566,TRATAMENTO CIRURGICO DE VARIZES (BILATERAL)
SALPINGECTOMIA BILATERAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
SALPINGECTOMIA BILATERAL,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
SALPINGECTOMIA BILATERAL VIDEOLAPAROSCOPICA,0409060240,SALPINGECTOMIA VIDEOLAPAROSCOPICA
SALPINGECTOMIA BILATERAL VIDEOLAPAROSCOPICA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
SALPINGECTOMIA UNILATERAL,0409060232,SALPINGECTOMIA UNI / BILATERAL
SALPINGECTOMIA UNILATERAL,0409060240,SALPINGECTOMIA VIDEOLAPAROSCOPICA
SALPINGECTOMIA UNILATERAL,0411020048,TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA
SALPINGECTOMIA UNILATERAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
SALPINGECTOMIA VIDEOLAPAROSCOPICA,0409060240,SALPINGECTOMIA VIDEOLAPAROSCOPICA
SALPINGECTOMIA VIDEOLAPAROSCOPICA,0411020048,TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA
SALPINGECTOMIA VIDEOLAPAROSCOPICA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
SALPINGO-OOFOROFIXACAO,0304100021,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO
SALPINGOPLASTIA,0409060216,OOFORECTOMIA / OOFOROPLASTIA
SALPINGOPLASTIA,0409060267,SALPINGOPLASTIA VIDEOLAPAROSCOPICA
SEGMENTECTOMIA PULMONAR,0412050102,"RESSECÇÃO EM CUNHA, TUMORECTOMIA / BIOPSIA DE PULMAO A CEU ABERTO"
SEGMENTECTOMIA PULMONAR,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
SEGMENTECTOMIA PULMONAR,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
SEGMENTECTOMIA PULMONAR,0416110061,SEGMENTECTOMIA PULMONAR EM ONCOLOGIA
SEGMENTECTOMIA PULMONAR,0416110070,RESSECÇAO PULMONAR EM CUNHA EM ONCOLOGIA
SEPTOPLASTIA,0404010415,TURBINECTOMIA
SEPTOPLASTIA,0404010482,SEPTOPLASTIA PARA CORREÇÃO DE DESVIO
SEPTOPLASTIA,0415010012,TRATAMENTO C/ CIRURGIAS MULTIPLAS
SEPTOPLASTIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
SEPTOPLASTIA,0416030238,RESSECÇÃO DE TUMOR DE RINOFARINGE EM ONCOLOGIA
SETORECTOMIA,0406020159,EXERESE DE GANGLIO LINFÁTICO
SETORECTOMIA,0410010073,PLASTICA MAMÁRIA FEMININA NAO ESTETICA
SETORECTOMIA,0410010111,SETORECTOMIA / QUADRANTECTOMIA
SETORECTOMIA,0413040178,TRATAMENTO CIRURGICO DE LESOES EXTENSAS C/ PERDA DE SUBSTANCIA CUTANEA
SETORECTOMIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
SETORECTOMIA,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
SETORECTOMIA,0416120059,SEGMENTECTOMIA/QUADRANTECTOMIA/SETORECTOMIA DE MAMA EM ONCOLOGIA
SETORECTOMIA C/ ESVAZIAMENTO  AXILAR,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
SETORECTOMIA C/ ESVAZIAMENTO  AXILAR,0416020216,LINFADENECTOMIA AXILAR UNILATERAL EM ONCOLOGIA
SETORECTOMIA C/LINFADENECTOMIA,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
SHUNT INTRAHEPATICO PORTO SISTEMICO (TIPS) COM STENT NÃO RECOBERTO,0406040265,IMPLANTAÇÃO DE SHUNT INTRA-HEPÁTICO PORTO-SISTÊMICO (TIPS) COM STENT NÃO RECOBERTO
SHUNT INTRAHEPATICO PORTO SISTEMICO (TIPS) COM STENT NÃO RECOBERTO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
SIGMOIDECTOMIA,0407020063,COLECTOMIA PARCIAL (HEMICOLECTOMIA)
SIGMOIDECTOMIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
SIMPATECTOMIA TORACICA,0403050138,SIMPATECTOMIA TORACICA A CÉU ABERTO
SIMPATECTOMIA TORACICA,0403050146,SIMPATECTOMIA TORÁCICA VIDEOCIRÚRGICA
SINDACTILIA UNILATERAL,0408060700,TRATAMENTO CIRÚRGICO DE SINDACTILIA SIMPLES (DOIS DEDOS)
SINOVECTOMIA SUB-TOTAL DO JOELHO,0408060123,EXPLORAÇÃO ARTICULAR C/ OU S/ SINOVECTOMIA DE MÉDIAS / GRANDES ARTICULAÇÕES
SINUSOTOMIA,0304100021,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO
